,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,
0,0.02,-0.010068189,-0.010068189,-0.010068193,-0.010068187,-0.010068188,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.010068188,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,mean:,1.087322592,0.000139727,1.782740469,1.143113356,MEUCD:
1,0.04,-0.009777798,-0.009777798,-0.009777799,-0.009777798,-0.009777798,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.009777798,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",median",1.214983439,0.000139727,1.782740469,1.143113356,7.62E-05
2,0.06,-0.009487408,-0.009487408,-0.00948741,-0.009487407,-0.009487407,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.009487407,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",min:",3.68E-05,0.000139727,1.782740469,1.143113356,VRE:
3,0.08,-0.009197017,-0.009197017,-0.009197019,-0.009197014,-0.009197016,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.009197016,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",max:",1.55375391,0.000139727,1.782740469,1.143113356,1.63576495
4,0.1,-0.008906626,-0.008906626,-0.008906628,-0.008906626,-0.008906625,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.008906625,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,,,0.000139727,1.782740469,1.143113356,MRE:
5,0.12,-0.008616235,-0.008616235,-0.008616239,-0.00861623,-0.008616234,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.008616234,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,,,0.000139727,1.782740469,1.143113356,0.595234784
6,0.14,-0.008325844,-0.008325844,-0.008325849,-0.00832584,-0.008325844,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.008325844,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,,,0.000139727,1.782740469,1.143113356,
7,0.16,-0.008035454,-0.008035454,-0.008035454,-0.008035453,-0.008035453,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.008035453,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,,,0.000139727,1.782740469,1.143113356,
8,0.18,-0.007745065,-0.007745065,-0.007745073,-0.007745069,-0.007745064,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.007745064,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358318,0.004159762,9,1.54950065,3.292118058,6.692616529,1.54950065,,,0.000139317,1.75447778,1.145661873,
9,0.2,-0.007454703,-0.007454703,-0.007454704,-0.007454698,-0.007454702,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.007454702,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358318,0.004159761,10,1.549495015,3.292105642,6.69259088,1.549495015,,,0.000139317,1.754454162,1.145661873,
10,0.22,-0.007164341,-0.007164341,-0.007164342,-0.007164336,-0.00716434,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.00716434,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358317,0.004159761,10,1.549504519,3.292126024,6.692632986,1.549504519,,,0.000139317,1.754454162,1.145671638,
11,0.24,-0.00687398,-0.00687398,-0.006873981,-0.006873976,-0.006873978,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.006873978,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358317,0.00415976,10,1.549498885,3.292113608,6.692607337,1.549498885,,,0.000139317,1.754430544,1.145671638,
12,0.26,-0.006583618,-0.006583618,-0.006583619,-0.006583618,-0.006583617,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.006583617,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358317,0.004159761,10,1.549504519,3.292126024,6.692632986,1.549504519,,,0.000139317,1.754454162,1.145671638,
